Date,AMZN US Equity,BNDX US Equity,DAX Index,EURUSD BGN Curncy,GS US Equity,GOOGl US Equity,TSLA US Equity,,,,,,
26/9/16,39.958,56.03,10393.71,1.1254,161.48,40.133,13.9327,,,,,,
27/9/16,40.806,56.1,10361.48,1.1215,162.89,40.537,13.7207,,,,,,
28/9/16,41.436,56.1,10438.34,1.1217,163.45,40.503,13.7513,,,,,,
29/9/16,41.453,56.11,10405.54,1.1222,158.95,40.132,13.38,,,,,,
30/9/16,41.866,56.04,10511.02,1.1235,161.27,40.203,13.602,,,,,,
4/10/16,41.701,55.75,10619.61,1.1204,162.27,40.14,14.094,,,,,,
5/10/16,42.218,55.63,10585.78,1.1205,166.4,40.062,13.8973,,,,,,
6/10/16,42.083,55.62,10568.8,1.1151,167.15,40.154,13.4,,,,,,
7/10/16,41.972,55.58,10490.86,1.1201,169.83,40.036,13.1073,,,,,,
10/10/16,42.086,55.47,10624.08,1.1139,171.04,40.709,13.3967,,,,,,
11/10/16,41.55,55.51,10577.16,1.1054,169.04,40.479,13.34,,,,,,
12/10/16,41.705,55.45,10523.07,1.1007,169.3,40.588,13.434,,,,,,
13/10/16,41.464,55.56,10414.07,1.1056,167.42,40.204,13.3493,,,,,,
14/10/16,41.148,55.4,10580.38,1.0972,170.52,40.23,13.1007,,,,,,
17/10/16,40.648,55.44,10503.57,1.1,169,40.342,12.9307,,,,,,
18/10/16,40.883,55.51,10631.55,1.0981,172.63,41.075,13.2733,,,,,,
19/10/16,40.885,55.54,10645.68,1.0974,174.51,41.355,13.5707,,,,,,
20/10/16,40.516,55.57,10701.39,1.0929,174.51,41.082,13.2733,,,,,,
21/10/16,40.95,55.55,10710.73,1.0884,174.67,41.203,13.3393,,,,,,
24/10/16,41.905,55.54,10761.17,1.0882,175.12,41.787,13.5173,,,,,,
25/10/16,41.759,55.55,10757.31,1.0889,175.55,41.427,13.4893,,,,,,
26/10/16,41.13,55.44,10709.68,1.0908,177.07,41.105,13.4827,,,,,,
27/10/16,40.918,55.21,10717.08,1.0897,177.75,40.868,13.6007,,,,,,
28/10/16,38.816,55.23,10696.19,1.0985,177.14,40.978,13.3313,,,,,,
31/10/16,39.491,55.28,10665.01,1.0981,178.24,40.495,13.182,,,,,,
1/11/16,39.271,55.11,10526.16,1.1055,178.06,40.274,12.7193,,,,,,
2/11/16,38.278,55.25,10370.93,1.1098,176.58,39.421,12.5347,,,,,,
3/11/16,38.352,55.16,10325.88,1.1105,176.21,39.11,12.4947,,,,,,
4/11/16,37.753,55.21,10259.13,1.1141,175.92,39.055,12.704,,,,,,
7/11/16,39.247,55.21,10456.95,1.1041,181.48,40.102,12.8807,,,,,,
8/11/16,39.388,55.14,10482.32,1.1026,181.92,40.599,12.996,,,,,,
9/11/16,38.594,54.8,10646.01,1.091,192.63,40.28,12.6707,,,,,,
10/11/16,37.119,54.58,10630.12,1.0893,200.87,39.015,12.3567,,,,,,
11/11/16,36.951,54.5,10667.95,1.0855,203.94,38.588,12.5707,,,,,,
14/11/16,35.954,54.36,10693.69,1.0737,209.18,37.661,12.0967,,,,,,
15/11/16,37.162,54.53,10735.14,1.0722,211.19,38.758,12.2513,,,,,,
16/11/16,37.325,54.47,10663.87,1.0691,206.26,38.999,12.262,,,,,,
17/11/16,37.82,54.45,10685.54,1.0626,209.63,39.308,12.5773,,,,,,
18/11/16,38.008,54.38,10664.56,1.0588,210.35,38.799,12.3347,,,,,,
21/11/16,39,54.33,10685.13,1.063,211.08,39.24,12.3013,,,,,,
22/11/16,39.267,54.54,10713.85,1.0627,211.11,39.25,12.7447,,,,,,
23/11/16,39.006,54.42,10662.44,1.0553,212.31,38.95,12.876,,,,,,
25/11/16,39.019,54.44,10699.27,1.0589,211.38,39.012,13.11,,,,,,
28/11/16,38.338,54.53,10582.67,1.0614,210.35,39.29,13.0747,,,,,,
29/11/16,38.126,54.66,10620.49,1.065,211.75,39.472,12.638,,,,,,
30/11/16,37.529,54.53,10640.3,1.0589,219.29,38.794,12.6267,,,,,,
1/12/16,37.183,54.14,10534.05,1.0661,226.63,38.217,12.1253,,,,,,
2/12/16,37.017,54.38,10513.35,1.0664,223.36,38.223,12.098,,,,,,
5/12/16,37.968,54.33,10684.83,1.0764,228.55,38.911,12.4533,,,,,,
6/12/16,38.236,54.16,10775.32,1.0718,231.38,38.809,12.39,,,,,,
